"","cohort","W","B0","B1","B2","B3p","B","edu","CCF"
"149","1965",1172,1172,1084,905,181,2170,"High",1.85153583617747
"150","1966",450,450,418,346,128,892,"Low",1.98222222222222
"151","1966",1969,1969,1852,1563,403,3818,"Medium",1.93905535804977
"152","1966",1066,1066,980,814,157,1951,"High",1.83020637898687
"153","1967",380,380,342,287,130,759,"Low",1.99736842105263
"154","1967",2174,2174,2034,1757,433,4224,"Medium",1.94296228150874
"155","1967",1215,1215,1101,887,162,2150,"High",1.76954732510288
"156","1968",312,312,285,226,95,606,"Low",1.94230769230769
"157","1968",2253,2253,2109,1812,437,4358,"Medium",1.93430980914336
"158","1968",1435,1435,1301,1028,198,2527,"High",1.7609756097561
"159","1969",278,278,249,200,68,517,"Low",1.85971223021583
"160","1969",2365,2365,2191,1845,429,4465,"Medium",1.88794926004228
"161","1969",1454,1454,1294,1007,186,2487,"High",1.71045392022008
"162","1970",228,228,205,144,36,385,"Low",1.68859649122807
"163","1970",2378,2378,2181,1716,363,4260,"Medium",1.79142136248949
"164","1970",1683,1683,1483,1122,181,2786,"High",1.65537730243613
