"cohort","edu","sex","origin","women_total","children_total","parity_0","parity_1","parity_2","parity_3","parity_4","parity_5","parity_6","parity_7","parity_8p","CFR","CFR1","CFR2","CFR3","CFR4","CFR5","CFR6","CFR7","CFR8p","SHARE0","SHARE1","SHARE2","SHARE3","SHARE4","SHARE5","SHARE6","SHARE7","SHARE8p","PPR01","PPR12","PPR23","PPR34","PPR45","PPR56","PPR67"
1957,"ISCED0-2A","F","Total",1779,3949,60,208,976,391,114,25,3,0,2,2.220,0.966,0.849,0.301,0.081,0.017,0.003,0.001,0.002,0.034,0.117,0.549,0.220,0.064,0.014,0.002,0.000,0.001,0.966,0.879,0.354,0.269,0.208,0.167,0.400
1957,"ISCED3C-A","F","Total",1567,3095,59,266,979,202,53,2,3,1,2,1.975,0.962,0.793,0.168,0.039,0.005,0.004,0.002,0.003,0.038,0.170,0.625,0.129,0.034,0.001,0.002,0.001,0.001,0.962,0.824,0.212,0.232,0.131,0.750,0.500
1957,"ISCED5B-6","F","Total",441,811,33,81,269,47,8,1,0,2,0,1.839,0.925,0.741,0.132,0.025,0.007,0.005,0.005,-0.000,0.075,0.184,0.610,0.107,0.018,0.002,0.000,0.005,0.000,0.925,0.801,0.177,0.190,0.273,0.667,1.000
1958,"ISCED0-2A","F","Total",1714,3723,62,225,939,371,86,26,4,0,1,2.172,0.964,0.833,0.285,0.068,0.018,0.003,0.001,0.001,0.036,0.131,0.548,0.216,0.050,0.015,0.002,0.000,0.001,0.964,0.864,0.342,0.240,0.265,0.161,0.200
1958,"ISCED3C-A","F","Total",1613,3173,64,264,1017,222,35,6,1,1,3,1.967,0.960,0.797,0.166,0.029,0.007,0.003,0.002,0.003,0.040,0.164,0.631,0.138,0.022,0.004,0.001,0.001,0.002,0.960,0.830,0.209,0.172,0.239,0.455,0.800
1958,"ISCED5B-6","F","Total",535,971,49,78,349,49,7,1,1,0,1,1.815,0.908,0.763,0.110,0.019,0.006,0.004,0.002,0.004,0.092,0.146,0.652,0.092,0.013,0.002,0.002,0.000,0.002,0.908,0.840,0.145,0.169,0.300,0.667,0.500
1959,"ISCED0-2A","F","Total",1620,3508,48,202,952,308,87,16,3,2,2,2.165,0.970,0.846,0.258,0.068,0.014,0.004,0.002,0.002,0.030,0.125,0.588,0.190,0.054,0.010,0.002,0.001,0.001,0.970,0.872,0.305,0.263,0.209,0.304,0.571
1959,"ISCED3C-A","F","Total",1800,3513,60,290,1184,225,30,8,2,0,1,1.952,0.967,0.806,0.148,0.023,0.006,0.002,0.001,0.001,0.033,0.161,0.658,0.125,0.017,0.004,0.001,0.000,0.001,0.967,0.833,0.183,0.154,0.268,0.273,0.333
1959,"ISCED5B-6","F","Total",582,1031,53,101,367,49,11,1,0,0,0,1.771,0.909,0.735,0.105,0.021,0.002,0.000,0.000,-0.000,0.091,0.174,0.631,0.084,0.019,0.002,0.000,0.000,0.000,0.909,0.809,0.143,0.197,0.083,0.000,0.000
1960,"ISCED0-2A","F","Total",1582,3321,69,207,932,289,58,19,4,2,2,2.099,0.956,0.826,0.236,0.054,0.017,0.005,0.003,0.003,0.044,0.131,0.589,0.183,0.037,0.012,0.003,0.001,0.001,0.956,0.863,0.286,0.227,0.318,0.296,0.500
1960,"ISCED3C-A","F","Total",2071,4051,83,313,1359,268,37,5,3,1,2,1.956,0.960,0.809,0.153,0.023,0.005,0.003,0.001,0.002,0.040,0.151,0.656,0.129,0.018,0.002,0.001,0.000,0.001,0.960,0.843,0.189,0.152,0.229,0.545,0.500
1960,"ISCED5B-6","F","Total",705,1275,47,131,448,71,6,1,1,0,0,1.809,0.933,0.748,0.112,0.011,0.003,0.001,0.000,0.000,0.067,0.186,0.635,0.101,0.009,0.001,0.001,0.000,0.000,0.933,0.801,0.150,0.101,0.250,0.500,0.000
1961,"ISCED0-2A","F","Total",1403,2936,45,211,819,251,60,10,5,2,0,2.093,0.968,0.818,0.234,0.055,0.012,0.005,0.001,0.000,0.032,0.150,0.584,0.179,0.043,0.007,0.004,0.001,-0.000,0.968,0.845,0.286,0.235,0.221,0.412,0.286
1961,"ISCED3C-A","F","Total",2098,4051,87,322,1390,256,35,7,1,0,0,1.931,0.959,0.805,0.143,0.020,0.004,0.000,0.000,-0.000,0.041,0.153,0.663,0.122,0.017,0.003,0.000,0.000,-0.000,0.959,0.840,0.177,0.144,0.186,0.125,0.000
1961,"ISCED5B-6","F","Total",789,1430,60,131,506,84,6,1,1,0,0,1.812,0.924,0.758,0.117,0.010,0.003,0.001,0.000,0.000,0.076,0.166,0.641,0.106,0.008,0.001,0.001,0.000,-0.000,0.924,0.820,0.154,0.087,0.250,0.500,0.000
1962,"ISCED0-2A","F","Total",1136,2291,61,166,691,154,43,17,4,0,0,2.017,0.946,0.800,0.192,0.056,0.018,0.004,0.000,-0.000,0.054,0.146,0.608,0.136,0.038,0.015,0.004,0.000,0.000,0.946,0.846,0.240,0.294,0.328,0.190,0.000
1962,"ISCED3C-A","F","Total",2199,4188,98,378,1413,272,27,8,2,0,1,1.905,0.955,0.784,0.141,0.017,0.005,0.001,0.000,0.000,0.045,0.172,0.643,0.124,0.012,0.004,0.001,0.000,0.000,0.955,0.820,0.180,0.123,0.289,0.273,0.333
1962,"ISCED5B-6","F","Total",879,1630,53,140,579,96,11,0,0,0,0,1.854,0.940,0.780,0.122,0.013,0.000,0.000,0.000,-0.000,0.060,0.159,0.659,0.109,0.013,0.000,0.000,0.000,-0.000,0.940,0.831,0.156,0.103,0.000,0.000,0.000
1963,"ISCED0-2A","F","Total",832,1720,35,116,488,155,30,5,3,0,0,2.067,0.958,0.819,0.232,0.046,0.010,0.004,0.000,0.000,0.042,0.139,0.587,0.186,0.036,0.006,0.004,0.000,0.000,0.958,0.854,0.283,0.197,0.211,0.375,0.000
1963,"ISCED3C-A","F","Total",2126,4083,105,324,1380,282,28,3,3,0,1,1.921,0.951,0.798,0.149,0.016,0.003,0.002,0.000,0.000,0.049,0.152,0.649,0.133,0.013,0.001,0.001,0.000,0.000,0.951,0.840,0.187,0.110,0.200,0.571,0.250
1963,"ISCED5B-6","F","Total",953,1773,68,140,620,110,13,1,1,0,0,1.860,0.929,0.782,0.131,0.016,0.002,0.001,0.000,0.000,0.071,0.147,0.651,0.115,0.014,0.001,0.001,0.000,0.000,0.929,0.842,0.168,0.120,0.133,0.500,0.000
1964,"ISCED0-2A","F","Total",710,1445,38,99,417,125,21,8,1,1,0,2.035,0.946,0.807,0.220,0.044,0.014,0.003,0.001,0.000,0.054,0.139,0.587,0.176,0.030,0.011,0.001,0.001,-0.000,0.946,0.853,0.272,0.199,0.323,0.200,0.500
1964,"ISCED3C-A","F","Total",1955,3775,107,266,1289,254,29,8,1,1,0,1.931,0.945,0.809,0.150,0.020,0.005,0.001,0.001,0.000,0.055,0.136,0.659,0.130,0.015,0.004,0.001,0.001,0.000,0.945,0.856,0.185,0.133,0.256,0.200,0.500
1964,"ISCED5B-6","F","Total",946,1743,72,142,610,110,9,3,0,0,0,1.842,0.924,0.774,0.129,0.013,0.003,0.000,0.000,0.000,0.076,0.150,0.645,0.116,0.010,0.003,0.000,0.000,0.000,0.924,0.838,0.167,0.098,0.250,0.000,0.000
1965,"ISCED0-2A","F","Total",607,1184,41,94,351,105,10,3,3,0,0,1.951,0.932,0.778,0.199,0.026,0.010,0.005,0.000,-0.000,0.068,0.155,0.578,0.173,0.016,0.005,0.005,0.000,0.000,0.932,0.834,0.256,0.132,0.375,0.500,0.000
1965,"ISCED3C-A","F","Total",2227,4307,111,337,1431,303,33,8,2,1,1,1.934,0.950,0.799,0.156,0.020,0.005,0.002,0.001,0.000,0.050,0.151,0.643,0.136,0.015,0.004,0.001,0.000,0.000,0.950,0.841,0.196,0.129,0.267,0.333,0.500
1965,"ISCED5B-6","F","Total",1172,2170,88,179,753,129,19,2,2,0,0,1.852,0.925,0.772,0.130,0.020,0.003,0.002,0.000,-0.000,0.075,0.153,0.642,0.110,0.016,0.002,0.002,0.000,0.000,0.925,0.835,0.168,0.151,0.174,0.500,0.000
1966,"ISCED0-2A","F","Total",450,892,32,72,250,77,12,3,3,0,1,1.982,0.929,0.769,0.213,0.042,0.016,0.009,0.002,0.002,0.071,0.160,0.556,0.171,0.027,0.007,0.007,0.000,0.002,0.929,0.828,0.277,0.198,0.368,0.571,0.250
1966,"ISCED3C-A","F","Total",1969,3818,117,289,1232,272,48,9,2,0,0,1.939,0.941,0.794,0.168,0.030,0.006,0.001,0.000,-0.000,0.059,0.147,0.626,0.138,0.024,0.005,0.001,0.000,0.000,0.941,0.844,0.212,0.178,0.186,0.182,0.000
1966,"ISCED5B-6","F","Total",1066,1951,86,166,686,107,17,1,2,1,0,1.830,0.919,0.764,0.120,0.020,0.004,0.003,0.001,0.000,0.081,0.156,0.644,0.100,0.016,0.001,0.002,0.001,-0.000,0.919,0.831,0.157,0.164,0.190,0.750,0.333
1967,"ISCED0-2A","F","Total",380,759,38,55,195,67,19,2,1,3,0,1.997,0.900,0.755,0.242,0.066,0.016,0.011,0.008,0.000,0.100,0.145,0.513,0.176,0.050,0.005,0.003,0.008,-0.000,0.900,0.839,0.321,0.272,0.240,0.667,0.750
1967,"ISCED3C-A","F","Total",2174,4224,140,277,1394,310,42,5,6,0,0,1.943,0.936,0.808,0.167,0.024,0.005,0.003,0.000,0.000,0.064,0.127,0.641,0.143,0.019,0.002,0.003,0.000,0.000,0.936,0.864,0.207,0.146,0.208,0.545,0.000
1967,"ISCED5B-6","F","Total",1215,2150,114,214,745,126,14,1,0,1,0,1.770,0.906,0.730,0.117,0.013,0.002,0.001,0.001,-0.000,0.094,0.176,0.613,0.104,0.012,0.001,0.000,0.001,-0.000,0.906,0.806,0.160,0.113,0.125,0.500,1.000
1968,"ISCED0-2A","F","Total",312,606,27,59,158,48,16,2,1,1,0,1.942,0.913,0.724,0.218,0.064,0.013,0.006,0.003,-0.000,0.087,0.189,0.506,0.154,0.051,0.006,0.003,0.003,-0.000,0.913,0.793,0.301,0.294,0.200,0.500,0.500
1968,"ISCED3C-A","F","Total",2253,4358,144,297,1437,320,49,5,1,0,0,1.934,0.936,0.804,0.166,0.024,0.003,0.000,0.000,-0.000,0.064,0.132,0.638,0.142,0.022,0.002,0.000,0.000,-0.000,0.936,0.859,0.207,0.147,0.109,0.167,0.000
1968,"ISCED5B-6","F","Total",1435,2527,134,273,851,157,19,1,0,0,0,1.761,0.907,0.716,0.123,0.014,0.001,0.000,0.000,0.000,0.093,0.190,0.593,0.109,0.013,0.001,0.000,0.000,0.000,0.907,0.790,0.172,0.113,0.050,0.000,0.000
1969,"ISCED0-2A","F","Total",278,517,29,49,148,40,11,0,0,0,1,1.860,0.896,0.719,0.187,0.043,0.004,0.004,0.004,0.004,0.104,0.176,0.532,0.144,0.040,0.000,0.000,0.000,0.004,0.896,0.803,0.260,0.231,0.083,1.000,1.000
1969,"ISCED3C-A","F","Total",2365,4465,174,346,1462,349,29,1,1,3,0,1.888,0.926,0.780,0.162,0.014,0.002,0.002,0.001,0.000,0.074,0.146,0.618,0.148,0.012,0.000,0.000,0.001,-0.000,0.926,0.842,0.208,0.089,0.147,0.800,0.750
1969,"ISCED5B-6","F","Total",1454,2487,160,287,848,136,21,1,0,1,0,1.710,0.890,0.693,0.109,0.016,0.001,0.001,0.001,0.000,0.110,0.197,0.583,0.094,0.014,0.001,0.000,0.001,0.000,0.890,0.778,0.158,0.145,0.087,0.500,1.000
1970,"ISCED0-2A","F","Total",228,385,23,61,111,31,1,1,0,0,0,1.689,0.899,0.632,0.145,0.009,0.004,0.000,0.000,0.000,0.101,0.268,0.487,0.136,0.004,0.004,0.000,0.000,-0.000,0.899,0.702,0.229,0.061,0.500,0.000,0.000
1970,"ISCED3C-A","F","Total",2378,4260,197,465,1401,276,33,4,1,1,0,1.791,0.917,0.722,0.132,0.016,0.003,0.001,0.000,0.000,0.083,0.196,0.589,0.116,0.014,0.002,0.000,0.000,-0.000,0.917,0.787,0.184,0.124,0.154,0.333,0.500
1970,"ISCED5B-6","F","Total",1683,2786,200,361,951,161,10,0,0,0,0,1.655,0.881,0.667,0.102,0.006,0.000,0.000,0.000,0.000,0.119,0.214,0.565,0.096,0.006,0.000,0.000,0.000,0.000,0.881,0.757,0.152,0.058,0.000,0.000,0.000
"Total","ISCED0-2A","F","Total",62023,202274,1564,4647,16955,14805,10871,6972,3801,1529,879,3.261,0.975,0.900,0.626,0.388,0.213,0.100,0.039,0.021,0.025,0.075,0.273,0.239,0.175,0.112,0.061,0.025,0.014,0.975,0.923,0.696,0.619,0.548,0.471,0.388
"Total","ISCED3C-A","F","Total",39627,81390,1921,5589,23507,6592,1447,377,110,42,42,2.054,0.952,0.810,0.217,0.051,0.014,0.005,0.002,0.002,0.048,0.141,0.593,0.166,0.037,0.010,0.003,0.001,0.001,0.952,0.852,0.268,0.234,0.283,0.340,0.433
"Total","ISCED5B-6","F","Total",17227,32120,1398,2831,10365,2166,363,63,19,13,9,1.865,0.919,0.755,0.153,0.027,0.006,0.002,0.001,0.002,0.081,0.164,0.602,0.126,0.021,0.004,0.001,0.001,0.001,0.919,0.821,0.203,0.177,0.223,0.394,0.537
