"cohort","edu","sex","origin","women_total","children_total","parity_0","parity_1","parity_2","parity_3","parity_4","parity_5","parity_6","parity_7","parity_8p","CFR","CFR1","CFR2","CFR3","CFR4","CFR5","CFR6","CFR7","CFR8p","SHARE0","SHARE1","SHARE2","SHARE3","SHARE4","SHARE5","SHARE6","SHARE7","SHARE8p","PPR01","PPR12","PPR23","PPR34","PPR45","PPR56","PPR67"
1937,"ISCED0-2A","F","Total",1995,8609,34,78,162,324,485,436,298,125,53,4.315,0.983,0.944,0.863,0.700,0.457,0.239,0.089,0.041,0.017,0.039,0.081,0.162,0.243,0.219,0.149,0.063,0.027,0.983,0.960,0.914,0.812,0.653,0.522,0.374
1937,"ISCED3C-A","F","Total",137,465,1,6,25,47,33,19,2,3,1,3.394,0.993,0.949,0.766,0.423,0.182,0.044,0.029,0.007,0.007,0.044,0.182,0.343,0.241,0.139,0.015,0.022,0.007,0.993,0.956,0.808,0.552,0.431,0.240,0.667
1937,"ISCED5B-6","F","Total",43,122,3,3,8,17,8,4,0,0,0,2.837,0.930,0.860,0.674,0.279,0.093,0.000,0.000,0.000,0.070,0.070,0.186,0.395,0.186,0.093,0.000,0.000,0.000,0.930,0.925,0.784,0.414,0.333,0.000,0.000
1938,"ISCED0-2A","F","Total",2030,8587,28,79,164,343,550,461,256,98,51,4.230,0.986,0.947,0.867,0.698,0.427,0.200,0.073,0.033,0.014,0.039,0.081,0.169,0.271,0.227,0.126,0.048,0.025,0.986,0.961,0.915,0.805,0.612,0.468,0.368
1938,"ISCED3C-A","F","Total",164,517,2,17,27,55,42,15,4,2,0,3.152,0.988,0.884,0.720,0.384,0.128,0.037,0.012,-0.000,0.012,0.104,0.165,0.335,0.256,0.091,0.024,0.012,-0.000,0.988,0.895,0.814,0.534,0.333,0.286,0.333
1938,"ISCED5B-6","F","Total",39,109,2,2,14,11,7,1,1,1,0,2.795,0.949,0.897,0.538,0.256,0.077,0.051,0.026,-0.000,0.051,0.051,0.359,0.282,0.179,0.026,0.026,0.026,-0.000,0.949,0.946,0.600,0.476,0.300,0.667,0.500
1939,"ISCED0-2A","F","Total",2090,8550,31,100,170,412,569,441,238,89,40,4.091,0.985,0.937,0.856,0.659,0.387,0.176,0.062,0.030,0.015,0.048,0.081,0.197,0.272,0.211,0.114,0.043,0.019,0.985,0.951,0.913,0.770,0.587,0.454,0.351
1939,"ISCED3C-A","F","Total",189,618,1,10,31,79,46,16,2,0,4,3.270,0.995,0.942,0.778,0.360,0.116,0.032,0.021,0.026,0.005,0.053,0.164,0.418,0.243,0.085,0.011,0.000,0.021,0.995,0.947,0.826,0.463,0.324,0.273,0.667
1939,"ISCED5B-6","F","Total",39,120,4,1,9,13,7,2,0,2,1,3.077,0.897,0.872,0.641,0.308,0.128,0.077,0.077,0.077,0.103,0.026,0.231,0.333,0.179,0.051,0.000,0.051,0.026,0.897,0.971,0.735,0.480,0.417,0.600,1.000
1940,"ISCED0-2A","F","Total",2138,8511,32,108,194,456,592,419,228,68,41,3.981,0.985,0.935,0.844,0.630,0.354,0.158,0.051,0.025,0.015,0.051,0.091,0.213,0.277,0.196,0.107,0.032,0.019,0.985,0.949,0.903,0.747,0.561,0.446,0.323
1940,"ISCED3C-A","F","Total",215,639,8,13,50,77,48,13,4,2,0,2.972,0.963,0.902,0.670,0.312,0.088,0.028,0.009,-0.000,0.037,0.060,0.233,0.358,0.223,0.060,0.019,0.009,0.000,0.963,0.937,0.742,0.465,0.284,0.316,0.333
1940,"ISCED5B-6","F","Total",63,168,2,8,20,19,9,3,2,0,0,2.667,0.968,0.841,0.524,0.222,0.079,0.032,0.000,-0.000,0.032,0.127,0.317,0.302,0.143,0.048,0.032,0.000,0.000,0.968,0.869,0.623,0.424,0.357,0.400,0.000
1941,"ISCED0-2A","F","Total",2116,8148,42,89,216,492,628,384,179,57,29,3.851,0.980,0.938,0.836,0.603,0.307,0.125,0.041,0.020,0.020,0.042,0.102,0.233,0.297,0.181,0.085,0.027,0.014,0.980,0.957,0.891,0.722,0.508,0.408,0.325
1941,"ISCED3C-A","F","Total",219,653,6,7,64,74,51,12,3,2,0,2.982,0.973,0.941,0.648,0.311,0.078,0.023,0.009,-0.000,0.027,0.032,0.292,0.338,0.233,0.055,0.014,0.009,0.000,0.973,0.967,0.689,0.479,0.250,0.294,0.400
1941,"ISCED5B-6","F","Total",77,197,2,9,27,25,11,3,0,0,0,2.558,0.974,0.857,0.506,0.182,0.039,0.000,0.000,0.000,0.026,0.117,0.351,0.325,0.143,0.039,0.000,0.000,-0.000,0.974,0.880,0.591,0.359,0.214,0.000,0.000
1942,"ISCED0-2A","F","Total",2278,8582,46,81,257,611,645,368,189,58,23,3.767,0.980,0.944,0.831,0.563,0.280,0.119,0.036,0.014,0.020,0.036,0.113,0.268,0.283,0.162,0.083,0.025,0.010,0.980,0.964,0.881,0.677,0.497,0.423,0.300
1942,"ISCED3C-A","F","Total",277,818,4,18,80,111,36,16,7,3,2,2.953,0.986,0.921,0.632,0.231,0.101,0.043,0.018,0.022,0.014,0.065,0.289,0.401,0.130,0.058,0.025,0.011,0.007,0.986,0.934,0.686,0.366,0.437,0.429,0.417
1942,"ISCED5B-6","F","Total",73,181,3,9,27,20,12,2,0,0,0,2.479,0.959,0.836,0.466,0.192,0.027,0.000,0.000,0.000,0.041,0.123,0.370,0.274,0.164,0.027,0.000,0.000,0.000,0.959,0.871,0.557,0.412,0.143,0.000,0.000
1943,"ISCED0-2A","F","Total",2002,7135,44,104,264,569,555,304,105,38,19,3.564,0.978,0.926,0.794,0.510,0.233,0.081,0.028,0.013,0.022,0.052,0.132,0.284,0.277,0.152,0.052,0.019,0.009,0.978,0.947,0.858,0.642,0.456,0.348,0.352
1943,"ISCED3C-A","F","Total",279,791,6,21,84,107,46,9,2,1,3,2.835,0.978,0.903,0.602,0.219,0.054,0.022,0.014,0.043,0.022,0.075,0.301,0.384,0.165,0.032,0.007,0.004,0.011,0.978,0.923,0.667,0.363,0.246,0.400,0.667
1943,"ISCED5B-6","F","Total",96,252,4,5,37,34,10,5,1,0,0,2.625,0.958,0.906,0.521,0.167,0.062,0.010,0.000,-0.000,0.042,0.052,0.385,0.354,0.104,0.052,0.010,0.000,-0.000,0.958,0.946,0.575,0.320,0.375,0.167,0.000
1944,"ISCED0-2A","F","Total",1733,6101,19,86,270,532,444,251,98,21,12,3.520,0.989,0.939,0.784,0.477,0.220,0.076,0.019,0.017,0.011,0.050,0.156,0.307,0.256,0.145,0.057,0.012,0.007,0.989,0.950,0.834,0.608,0.462,0.343,0.252
1944,"ISCED3C-A","F","Total",260,717,6,20,77,101,46,9,0,0,1,2.758,0.977,0.900,0.604,0.215,0.038,0.004,0.004,0.015,0.023,0.077,0.296,0.388,0.177,0.035,0.000,0.000,0.004,0.977,0.921,0.671,0.357,0.179,0.100,1.000
1944,"ISCED5B-6","F","Total",110,281,4,6,47,40,10,2,0,0,1,2.555,0.964,0.909,0.482,0.118,0.027,0.009,0.009,0.036,0.036,0.055,0.427,0.364,0.091,0.018,0.000,0.000,0.009,0.964,0.943,0.530,0.245,0.231,0.333,1.000
