Spain, Cohort fertility tables, birth orders 1 to 5+
Last modified: 04/04/2022
Cohort   x   b1x     l0x       m1x       q1x   Sb1x   b2x    l1x       m2x       q2x   Sb2x    b3x    l2x       m3x       q3x   Sb3x    b4x    l3x       m4x       q4x   Sb4x   b5px    l4x      m5px      q5px   Sb5px     chix
1960    12-    .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1960    13     .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1960    14     .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1960    15    30   10000   0.00301   0.00301      0     0      0         .         .      0      0      0         .         .      0      0      0         .         .      0      0      0         .         .       0        .
1960    16    89    9970   0.00898   0.00894     30     6     30   0.08586   0.20444      0      0      0         .         .      0      0      0         .         .      0      0      0         .         .       0        .
1960    17   189    9881   0.01935   0.01917    119    22    113   0.10928   0.19039      6      2      6   0.11368   0.29601      0      0      0         .         .      0      0      0         .         .       0        .
1960    18   324    9691   0.03398   0.03341    309    52    281   0.12490   0.18533     28      6     26   0.12164   0.23012      2      1      2   0.17288   0.41939      0      0      0         .         .       0        .
1960    19   460    9368   0.05035   0.04911    632    95    553   0.12883   0.17141     80     13     72   0.11280   0.17706      8      1      7   0.10679   0.19358      1      0      1   0.11170   0.21099       0     4.00
1960    20   558    8908   0.06471   0.06268   1092   143    918   0.12726   0.15603    174     21    154   0.09895   0.13814     21      3     18   0.09850   0.14816      2      1      2   0.26221   0.43082       0     4.08
1960    21   598    8349   0.07428   0.07162   1651   188   1333   0.12212   0.14091    318     31    276   0.08809   0.11310     42      5     37   0.10237   0.13852      5      1      5   0.16632   0.25416       1     4.22
1960    22   641    7751   0.08629   0.08273   2249   235   1743   0.12060   0.13466    506     43    433   0.08040   0.09827     73      8     63   0.10176   0.12949     10      2     10   0.15359   0.21651       2     4.23
1960    23   665    7110   0.09816   0.09357   2890   271   2150   0.11566   0.12625    740     56    625   0.07614   0.08928    115     11     97   0.09061   0.11151     18      3     18   0.14768   0.19193       4     4.25
1960    24   671    6445   0.10991   0.10418   3555   318   2544   0.11693   0.12505   1012     66    840   0.06847   0.07873    171     14    142   0.08114   0.09611     29      5     29   0.14084   0.17407       8     4.27
1960    25   657    5773   0.12066   0.11379   4227   358   2897   0.11765   0.12371   1330     73   1092   0.05931   0.06706    237     16    195   0.07364   0.08438     43      5     43   0.10622   0.12669      13     4.30
1960    26   625    5116   0.13017   0.12222   4884   401   3195   0.12126   0.12551   1688     79   1377   0.05143   0.05744    311     18    252   0.06422   0.07200     59      7     59   0.09965   0.11493      18     4.31
1960    27   579    4491   0.13789   0.12900   5509   434   3420   0.12440   0.12704   2089     91   1699   0.04837   0.05326    390     20    313   0.05677   0.06320     77      8     77   0.09318   0.10510      25     4.33
1960    28   520    3912   0.14254   0.13306   6088   465   3565   0.12943   0.13044   2524     93   2043   0.04174   0.04553    480     20    383   0.04702   0.05151     97      9     97   0.08075   0.08897      33     4.34
1960    29   467    3391   0.14777   0.13760   6609   478   3620   0.13226   0.13206   2989    102   2415   0.03933   0.04239    573     22    457   0.04406   0.04794    117      9    117   0.07343   0.08032      42     4.36
1960    30   400    2925   0.14673   0.13670   7075   473   3609   0.13238   0.13104   3467    107   2791   0.03589   0.03824    676     22    537   0.03833   0.04135    139     11    139   0.07289   0.07873      51     4.37
1960    31   328    2525   0.13909   0.13004   7475   434   3536   0.12462   0.12276   3940    107   3157   0.03232   0.03400    782     22    622   0.03383   0.03614    161     11    161   0.06280   0.06719      62     4.39
1960    32   270    2197   0.13084   0.12280   7803   392   3430   0.11629   0.11422   4374    107   3484   0.02942   0.03062    890     22    707   0.03005   0.03184    183     12    183   0.06097   0.06472      73     4.40
1960    33   215    1927   0.11845   0.11183   8073   335   3308   0.10313   0.10127   4765    101   3769   0.02589   0.02669    996     21    791   0.02529   0.02656    206     12    206   0.05319   0.05590      85     4.41
1960    34   175    1711   0.10792   0.10239   8289   281   3188   0.08962   0.08814   5100     94   4003   0.02293   0.02346   1097     21    870   0.02294   0.02390    227     10    227   0.04374   0.04574      96     4.42
1960    35   138    1536   0.09430   0.09005   8464   238   3083   0.07844   0.07717   5381     88   4190   0.02068   0.02105   1191     20    943   0.02035   0.02108    248     10    248   0.03994   0.04154     107     4.43
1960    36   109    1398   0.08083   0.07769   8602   196   2983   0.06657   0.06560   5619     80   4340   0.01824   0.01848   1279     19   1012   0.01814   0.01868    267     10    267   0.03778   0.03912     117     4.44
1960    37    88    1289   0.07081   0.06838   8711   148   2896   0.05149   0.05096   5815     66   4455   0.01470   0.01484   1359     17   1073   0.01530   0.01565    286     10    286   0.03425   0.03525     127     4.45
1960    38    69    1201   0.05922   0.05752   8799   111   2836   0.03956   0.03927   5963     55   4537   0.01198   0.01205   1426     14   1122   0.01263   0.01286    303      9    303   0.02979   0.03050     138     4.45
1960    39    55    1132   0.04976   0.04855   8868    84   2794   0.03015   0.02999   6074     44   4594   0.00943   0.00947   1480     12   1163   0.01058   0.01072    318      8    318   0.02624   0.02676     147     4.46
1960    40    42    1077   0.03941   0.03865   8923    56   2765   0.02026   0.02021   6158     31   4634   0.00666   0.00668   1524     10   1194   0.00792   0.00799    330      8    330   0.02285   0.02318     155     4.47
1960    41    28    1035   0.02754   0.02717   8965    36   2751   0.01316   0.01314   6214     21   4659   0.00441   0.00441   1555      8   1215   0.00614   0.00618    340      5    340   0.01559   0.01576     163     4.48
1960    42    20    1007   0.02009   0.01989   8993    22   2743   0.00814   0.00814   6250     14   4674   0.00289   0.00289   1575      5   1228   0.00399   0.00400    347      4    347   0.01178   0.01186     168     4.48
1960    43    13     987   0.01294   0.01286   9013    12   2741   0.00437   0.00437   6272      8   4683   0.00165   0.00165   1589      3   1237   0.00263   0.00264    352      3    352   0.00787   0.00791     172     4.49
1960    44     8     974   0.00846   0.00843   9026     7   2741   0.00242   0.00243   6284      4   4688   0.00088   0.00088   1596      2   1241   0.00132   0.00132    355      2    355   0.00518   0.00519     175     4.49
1960    45     5     966   0.00538   0.00536   9034     4   2743   0.00153   0.00153   6291      2   4690   0.00049   0.00049   1601      1   1244   0.00097   0.00097    357      1    357   0.00302   0.00303     177     4.50
1960    46     4     961   0.00426   0.00425   9039     3   2744   0.00102   0.00102   6295      1   4692   0.00027   0.00027   1603      1   1245   0.00046   0.00046    358      1    358   0.00162   0.00162     178     4.50
1960    47     2     957   0.00251   0.00251   9043     2   2745   0.00056   0.00056   6298      1   4693   0.00016   0.00016   1604      0   1245   0.00019   0.00019    359      0    359   0.00102   0.00102     179     4.50
1960    48     2     955   0.00180   0.00180   9045     1   2746   0.00041   0.00041   6299      0   4694   0.00007   0.00007   1605      0   1246   0.00015   0.00015    359      0    359   0.00053   0.00053     179     4.50
1960    49     1     953   0.00114   0.00114   9047     1   2747   0.00027   0.00027   6300      0   4695   0.00006   0.00006   1605      0   1246   0.00013   0.00013    359      0    359   0.00046   0.00046     179     4.50
1960    50     1     952   0.00094   0.00094   9048     0   2747   0.00016   0.00016   6301      0   4696   0.00004   0.00004   1606      0   1246   0.00014   0.00014    359      0    359   0.00047   0.00047     179     4.50
1960    51     0     951   0.00043   0.00043   9049     0   2748   0.00005   0.00005   6302      0   4696   0.00001   0.00001   1606      0   1246   0.00004   0.00004    359      0    359   0.00019   0.00019     180     4.50
1960    52     0     950   0.00024   0.00024   9050     0   2748   0.00004   0.00004   6302      0   4696   0.00001   0.00001   1606      0   1246   0.00004   0.00004    360      0    360   0.00014   0.00014     180     4.50
1960    53     0     950   0.00006   0.00006   9050     0   2748   0.00003   0.00003   6302      0   4696   0.00000   0.00000   1606      0   1246   0.00000   0.00000    360      0    360   0.00006   0.00006     180     4.50
1960    54     0     950   0.00013   0.00013   9050     0   2748   0.00002   0.00002   6302      0   4696   0.00001   0.00001   1606      0   1246   0.00002   0.00002    360      0    360   0.00006   0.00006     180     4.50
1960    55+    0     950   0.00000   0.00000   9050     0   2748   0.00001   0.00001   6302      0   4696   0.00000   0.00000   1606      0   1246   0.00000   0.00000    360      0    360   0.00000   0.00000     180     4.50
1961    12-    .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1961    13     .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1961    14     7   10000   0.00067   0.00067      0     0      0         .         .      0      0      0         .         .      0      0      0         .         .      0      0      0         .         .       0        .
1961    15    30    9993   0.00299   0.00299      7     2      7   0.07401   0.22985      0      0      0         .         .      0      0      0         .         .      0      0      0         .         .       0        .
1961    16    93    9963   0.00936   0.00932     37     7     35   0.08374   0.18694      2      1      2   0.10986   0.32483      0      0      0         .         .      0      0      0         .         .       0        .
1961    17   199    9871   0.02033   0.02013    129    21    121   0.09946   0.17231      8      2      8   0.09051   0.20587      1      0      1   0.12299   0.29628      0      0      0         .         .       0        .
1961    18   323    9672   0.03400   0.03343    328    49    299   0.11166   0.16293     29      5     27   0.09900   0.17965      2      0      2   0.09083   0.19662      0      0      0   0.09702   0.21994       0     4.00
1961    19   424    9349   0.04639   0.04534    651    86    574   0.11532   0.14930     78     11     71   0.10055   0.15363      7      1      6   0.08711   0.15467      1      0      1   0.15640   0.30327       0     4.06
1961    20   499    8925   0.05755   0.05594   1075   132    912   0.12095   0.14527    163     18    146   0.09083   0.12641     18      2     16   0.09098   0.13624      2      1      2   0.31676   0.54901       0     4.13
1961    21   533    8425   0.06534   0.06327   1575   168   1279   0.11471   0.13111    296     27    260   0.08162   0.10373     36      4     32   0.09537   0.12879      4      1      4   0.18713   0.29203       1     4.27
1961    22   583    7892   0.07675   0.07391   2108   206   1644   0.11252   0.12543    464     38    400   0.07870   0.09522     63      7     55   0.09393   0.12069      8      2      8   0.14928   0.21217       2     4.27
1961    23   615    7309   0.08781   0.08412   2691   244   2021   0.11034   0.12048    670     47    568   0.07014   0.08228    101      9     87   0.08622   0.10495     15      3     15   0.14596   0.19152       4     4.26
1961    24   628    6694   0.09842   0.09381   3306   287   2393   0.11215   0.12013    913     55    765   0.06203   0.07146    148     12    124   0.07945   0.09322     24      4     24   0.13340   0.16606       7     4.28
1961    25   635    6066   0.11048   0.10469   3934   328   2733   0.11358   0.11996   1201     62    998   0.05483   0.06213    203     14    167   0.07256   0.08298     35      4     35   0.10466   0.12528      11     4.30
1961    26   624    5431   0.12199   0.11498   4569   369   3040   0.11656   0.12145   1529     66   1264   0.04661   0.05220    265     15    216   0.06314   0.07058     49      6     49   0.10004   0.11552      15     4.30
1961    27   595    4807   0.13205   0.12387   5193   411   3296   0.12133   0.12472   1898     80   1567   0.04592   0.05078    331     16    266   0.05397   0.06040     64      7     64   0.09661   0.10868      21     4.32
1961    28   542    4211   0.13764   0.12878   5789   443   3480   0.12551   0.12730   2309     86   1899   0.04141   0.04530    410     16    330   0.04483   0.04957     80      7     80   0.08339   0.09186      28     4.34
1961    29   495    3669   0.14455   0.13481   6331   462   3579   0.12848   0.12906   2752     91   2256   0.03715   0.04021    496     18    399   0.04229   0.04612     97      7     97   0.06924   0.07583      35     4.36
1961    30   441    3174   0.14940   0.13901   6826   467   3612   0.12975   0.12929   3214     95   2627   0.03371   0.03609    587     20    472   0.03887   0.04196    115      9    115   0.07155   0.07770      42     4.37
1961    31   358    2733   0.14014   0.13096   7267   438   3586   0.12342   0.12205   3681     99   2999   0.03125   0.03302    682     19    547   0.03299   0.03539    135      9    135   0.06315   0.06768      51     4.38
1961    32   286    2375   0.12800   0.12030   7625   394   3506   0.11399   0.11224   4118     97   3338   0.02796   0.02920    781     19    626   0.02914   0.03096    154     10    154   0.06385   0.06786      60     4.39
1961    33   228    2089   0.11527   0.10899   7911   349   3399   0.10457   0.10270   4512     96   3634   0.02542   0.02631    878     19    704   0.02602   0.02743    174      9    174   0.05169   0.05456      71     4.41
1961    34   182    1862   0.10289   0.09786   8138   307   3277   0.09555   0.09373   4861     92   3887   0.02315   0.02379    974     19    781   0.02327   0.02437    193      9    193   0.04594   0.04821      80     4.42
1961    35   147    1680   0.09128   0.08729   8320   264   3152   0.08543   0.08384   5168     86   4102   0.02058   0.02103   1066     19    854   0.02123   0.02207    212      9    212   0.04201   0.04388      90     4.42
1961    36   122    1533   0.08282   0.07953   8467   213   3035   0.07118   0.07011   5432     79   4280   0.01816   0.01845   1153     18    922   0.01855   0.01916    231     10    231   0.04081   0.04237      99     4.43
1961    37    97    1411   0.07138   0.06892   8589   160   2944   0.05481   0.05423   5645     69   4414   0.01558   0.01574   1232     16    983   0.01568   0.01610    249     10    249   0.03745   0.03864     109     4.44
1961    38    77    1314   0.06007   0.05831   8686   126   2881   0.04411   0.04373   5805     55   4504   0.01218   0.01227   1301     15   1037   0.01374   0.01401    264      8    264   0.03063   0.03147     118     4.45
1961    39    60    1237   0.04990   0.04869   8763    91   2832   0.03238   0.03220   5931     44   4575   0.00959   0.00964   1356     11   1077   0.01034   0.01050    279      8    279   0.02816   0.02873     127     4.45
1961    40    46    1177   0.03989   0.03911   8823    61   2801   0.02192   0.02186   6022     31   4622   0.00669   0.00672   1400      9   1110   0.00838   0.00847    290      7    290   0.02388   0.02426     135     4.46
1961    41    31    1131   0.02816   0.02777   8869    39   2786   0.01418   0.01416   6083     21   4652   0.00460   0.00461   1431      7   1132   0.00609   0.00613    300      5    300   0.01780   0.01801     142     4.47
1961    42    21    1099   0.01905   0.01887   8901    24   2778   0.00855   0.00855   6123     14   4670   0.00301   0.00301   1453      5   1146   0.00402   0.00403    307      4    307   0.01142   0.01151     147     4.48
1961    43    13    1079   0.01238   0.01230   8921    13   2775   0.00474   0.00474   6147      9   4680   0.00182   0.00182   1467      3   1156   0.00248   0.00249    311      3    311   0.00802   0.00806     151     4.48
1961    44     9    1065   0.00829   0.00826   8935     8   2775   0.00282   0.00282   6160      5   4684   0.00097   0.00097   1475      2   1161   0.00159   0.00159    314      2    314   0.00609   0.00610     153     4.49
1961    45     6    1057   0.00604   0.00602   8943     5   2776   0.00192   0.00192   6167      2   4688   0.00052   0.00052   1480      1   1164   0.00103   0.00103    316      1    316   0.00341   0.00342     155     4.49
1961    46     4    1050   0.00380   0.00379   8950     3   2777   0.00110   0.00110   6173      1   4690   0.00027   0.00027   1482      1   1165   0.00048   0.00048    317      1    317   0.00197   0.00197     156     4.49
1961    47     3    1046   0.00253   0.00252   8954     2   2778   0.00066   0.00066   6176      1   4692   0.00015   0.00015   1484      0   1166   0.00024   0.00024    318      0    318   0.00113   0.00113     157     4.49
1961    48     2    1044   0.00167   0.00167   8956     1   2779   0.00047   0.00047   6178      0   4693   0.00008   0.00008   1484      0   1166   0.00015   0.00015    318      0    318   0.00062   0.00062     157     4.49
1961    49     1    1042   0.00141   0.00141   8958     1   2779   0.00026   0.00026   6179      0   4694   0.00003   0.00003   1485      0   1167   0.00010   0.00010    318      0    318   0.00061   0.00061     157     4.49
1961    50     1    1040   0.00084   0.00084   8960     0   2780   0.00017   0.00017   6180      0   4695   0.00004   0.00004   1485      0   1167   0.00008   0.00008    318      0    318   0.00038   0.00038     158     4.50
1961    51     0    1040   0.00036   0.00035   8960     0   2780   0.00007   0.00007   6180      0   4695   0.00002   0.00002   1485      0   1167   0.00002   0.00002    318      0    318   0.00007   0.00007     158     4.50
1961    52     0    1039   0.00012   0.00012   8961     0   2780   0.00003   0.00003   6180      0   4695   0.00001   0.00001   1485      0   1167   0.00004   0.00004    318      0    318   0.00000   0.00000     158     4.50
1961    53     0    1039   0.00013   0.00013   8961     0   2780   0.00004   0.00004   6180      0   4695   0.00001   0.00001   1485      0   1167   0.00001   0.00001    318      0    318   0.00000   0.00000     158     4.50
1961    54     0    1039   0.00006   0.00006   8961     0   2780   0.00001   0.00001   6181      0   4695   0.00001   0.00001   1485      0   1167   0.00001   0.00001    318      0    318   0.00002   0.00002     158     4.50
1961    55+    0    1039   0.00006   0.00006   8961     0   2780   0.00002   0.00002   6181      0   4695   0.00000   0.00000   1485      0   1167   0.00000   0.00000    318      0    318   0.00000   0.00000     158     4.50
1962    12-    .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1962    13     2   10000   0.00016   0.00016      0     0      0         .         .      0      0      0         .         .      0      0      0         .         .      0      0      0         .         .       0        .
1962    14     7    9998   0.00074   0.00074      2     0      2   0.06662   0.21385      0      0      0         .         .      0      0      0         .         .      0      0      0         .         .       0        .
1962    15    33    9991   0.00329   0.00329      9     2      9   0.07141   0.20000      0      0      0   0.03386   0.11769      0      0      0         .         .      0      0      0         .         .       0        .
1962    16   100    9958   0.01007   0.01002     42     6     40   0.07521   0.16338      2      0      2   0.09669   0.23988      0      0      0         .         .      0      0      0         .         .       0        .
1962    17   203    9858   0.02079   0.02057    142    20    133   0.08975   0.15139      9      1      8   0.07294   0.15850      1      0      0   0.16400   0.34997      0      0      0         .         .       0     4.00
1962    18   299    9656   0.03142   0.03093    344    45    316   0.10163   0.14247     29      4     27   0.08228   0.14510      2      0      2   0.08649   0.18463      0      0      0   0.20073   0.34076       0     4.19
1962    19   381    9357   0.04152   0.04067    643    79    569   0.11011   0.13924     74     10     68   0.09268   0.14024      6      1      5   0.09912   0.18101      1      0      1   0.07947   0.15366       0     4.22
1962    20   453    8976   0.05174   0.05043   1024   118    871   0.11340   0.13522    153     16    138   0.08671   0.11862     15      2     14   0.09150   0.13933      1      1      1   0.28365   0.47219       0     4.13
1962    21   489    8524   0.05911   0.05742   1476   148   1206   0.10765   0.12288    271     25    239   0.08199   0.10317     32      4     28   0.09155   0.12583      3      1      3   0.14746   0.22518       1     4.26
1962    22   540    8034   0.06958   0.06724   1966   184   1547   0.10670   0.11898    419     32    363   0.07261   0.08784     56      5     49   0.08701   0.11030      7      1      7   0.13590   0.18935       2     4.24
1962    23   563    7494   0.07807   0.07513   2506   220   1903   0.10602   0.11557    603     39    515   0.06403   0.07529     88      8     76   0.08547   0.10294     12      2     12   0.12817   0.16860       3     4.24
1962    24   591    6931   0.08899   0.08520   3069   258   2246   0.10696   0.11488    823     46    696   0.05778   0.06656    127      9    107   0.07309   0.08582     20      3     20   0.12272   0.15060       5     4.25
1962    25   625    6340   0.10365   0.09854   3660   304   2579   0.11085   0.11775   1081     52    908   0.05006   0.05701    173     12    144   0.07243   0.08247     29      4     29   0.10179   0.12239       8     4.27
1962    26   623    5716   0.11528   0.10900   4284   344   2900   0.11313   0.11857   1385     60   1160   0.04640   0.05207    225     13    184   0.06176   0.06975     41      5     41   0.09943   0.11491      12     4.28
1962    27   601    5093   0.12541   0.11801   4907   391   3179   0.11910   0.12303   1728     70   1443   0.04346   0.04830    285     14    231   0.05220   0.05853     54      5     54   0.08460   0.09521      16     4.30
1962    28   566    4492   0.13445   0.12598   5508   421   3389   0.12152   0.12412   2119     74   1764   0.03827   0.04202    355     14    287   0.04503   0.04972     68      6     68   0.07835   0.08665      22     4.32
1962    29   526    3926   0.14374   0.13410   6074   448   3534   0.12550   0.12689   2540     81   2111   0.03509   0.03815    429     15    347   0.04078   0.04460     82      6     82   0.07049   0.07716      27     4.33
1962    30   472    3399   0.14920   0.13884   6601   456   3612   0.12608   0.12635   2989     87   2479   0.03262   0.03505    510     17    412   0.03834   0.04158     97      8     97   0.07449   0.08105      34     4.35
1962    31   377    2927   0.13751   0.12866   7073   433   3628   0.12019   0.11926   3445     88   2848   0.02930   0.03107    597     17    482   0.03281   0.03524    114      8    114   0.06412   0.06888      42     4.36
1962    32   300    2551   0.12499   0.11764   7449   404   3572   0.11464   0.11298   3878     92   3193   0.02750   0.02884    685     18    554   0.03010   0.03212    131      9    131   0.06076   0.06487      49     4.38
1962    33   240    2251   0.11273   0.10672   7749   374   3468   0.10997   0.10784   4281     94   3504   0.02573   0.02676    777     18    628   0.02646   0.02806    149      8    149   0.05173   0.05478      58     4.39
1962    34   196    2010   0.10264   0.09763   7990   337   3334   0.10309   0.10092   4655     92   3784   0.02342   0.02418    871     18    704   0.02454   0.02582    167      9    167   0.05357   0.05649      66     4.40
1962    35   165    1814   0.09506   0.09075   8186   281   3194   0.08964   0.08800   4992     86   4029   0.02074   0.02124    962     18    777   0.02197   0.02293    185      9    185   0.04601   0.04823      76     4.41
1962    36   135    1650   0.08538   0.08189   8350   229   3078   0.07566   0.07450   5273     80   4225   0.01870   0.01903   1048     16    845   0.01871   0.01942    203      9    203   0.04241   0.04413      85     4.42
1962    37   108    1514   0.07383   0.07120   8486   177   2983   0.06016   0.05946   5502     73   4374   0.01647   0.01667   1128     16    909   0.01714   0.01768    219      9    219   0.03937   0.04081      93     4.43
1962    38    83    1407   0.06093   0.05912   8593   139   2914   0.04804   0.04759   5679     57   4478   0.01258   0.01269   1201     15    966   0.01480   0.01513    235      8    235   0.03494   0.03603     102     4.44
1962    39    65    1323   0.05025   0.04902   8677    98   2858   0.03447   0.03427   5818     45   4560   0.00978   0.00983   1258     12   1008   0.01136   0.01155    250      8    250   0.03096   0.03168     111     4.44
1962    40    50    1259   0.04069   0.03988   8741    66   2825   0.02354   0.02347   5916     33   4613   0.00715   0.00718   1303     10   1041   0.00917   0.00927    262      7    262   0.02509   0.02555     119     4.45
1962    41    34    1208   0.02884   0.02843   8792    42   2809   0.01504   0.01502   5982     23   4646   0.00494   0.00495   1336      7   1065   0.00642   0.00647    271      6    271   0.02019   0.02044     125     4.46
1962    42    22    1174   0.01927   0.01909   8826    26   2801   0.00914   0.00913   6025     15   4665   0.00314   0.00315   1359      5   1081   0.00418   0.00420    278      4    278   0.01322   0.01333     131     4.47
1962    43    14    1152   0.01250   0.01242   8848    15   2798   0.00543   0.00543   6050      9   4676   0.00190   0.00190   1374      3   1091   0.00254   0.00255    283      3    283   0.01036   0.01041     135     4.48
1962    44    10    1137   0.00856   0.00853   8863     9   2797   0.00329   0.00329   6065      5   4683   0.00106   0.00106   1383      2   1097   0.00170   0.00170    285      2    285   0.00724   0.00726     138     4.48
1962    45     7    1128   0.00585   0.00583   8872     5   2798   0.00196   0.00196   6075      2   4687   0.00050   0.00050   1388      1   1100   0.00103   0.00103    287      1    287   0.00441   0.00442     140     4.49
1962    46     4    1121   0.00349   0.00349   8879     3   2799   0.00107   0.00107   6080      1   4690   0.00030   0.00030   1390      1   1102   0.00062   0.00062    288      1    288   0.00284   0.00285     141     4.49
1962    47     3    1117   0.00242   0.00242   8883     2   2800   0.00055   0.00055   6083      1   4692   0.00016   0.00016   1391      0   1102   0.00030   0.00030    289      0    289   0.00162   0.00162     142     4.49
1962    48     2    1114   0.00136   0.00136   8886     1   2801   0.00031   0.00031   6085      0   4692   0.00009   0.00009   1392      0   1103   0.00018   0.00018    289      0    289   0.00067   0.00067     142     4.49
1962    49     1    1113   0.00127   0.00127   8887     1   2802   0.00021   0.00021   6085      0   4693   0.00004   0.00004   1393      0   1103   0.00009   0.00009    290      0    290   0.00065   0.00065     143     4.49
1962    50     1    1112   0.00074   0.00074   8888     0   2802   0.00014   0.00014   6086      0   4693   0.00003   0.00003   1393      0   1103   0.00008   0.00008    290      0    290   0.00031   0.00031     143     4.49
1962    51     0    1111   0.00027   0.00027   8889     0   2803   0.00008   0.00008   6086      0   4694   0.00001   0.00001   1393      0   1103   0.00003   0.00003    290      0    290   0.00020   0.00020     143     4.49
1962    52     0    1110   0.00013   0.00013   8890     0   2803   0.00002   0.00002   6087      0   4694   0.00001   0.00001   1393      0   1103   0.00005   0.00005    290      0    290   0.00000   0.00000     143     4.49
1962    53     0    1110   0.00011   0.00011   8890     0   2803   0.00003   0.00003   6087      0   4694   0.00001   0.00001   1393      0   1103   0.00002   0.00002    290      0    290   0.00005   0.00005     143     4.49
1962    54     0    1110   0.00007   0.00007   8890     0   2803   0.00003   0.00003   6087      0   4694   0.00001   0.00001   1393      0   1103   0.00002   0.00002    290      0    290   0.00008   0.00008     143     4.49
1962    55+    0    1110   0.00008   0.00008   8890     0   2803   0.00001   0.00001   6087      0   4694   0.00000   0.00000   1393      0   1103   0.00000   0.00000    290      0    290   0.00000   0.00000     143     4.49
1963    12-    1   10000   0.00006   0.00006      0     0      0         .         .      0      0      0         .         .      0      0      0         .         .      0      0      0         .         .       0        .
1963    13     1    9999   0.00014   0.00014      1     0      1   0.14614   0.30116      0      0      0         .         .      0      0      0         .         .      0      0      0         .         .       0        .
1963    14     7    9998   0.00074   0.00074      2     0      2   0.08609   0.24906      0      0      0   0.06531   0.14488      0      0      0         .         .      0      0      0         .         .       0        .
1963    15    36    9991   0.00361   0.00360      9     2      9   0.06627   0.19556      1      0      1   0.07647   0.17761      0      0      0   0.00000   0.00000      0      0      0         .         .       0        .
1963    16   103    9955   0.01042   0.01036     45     7     43   0.07397   0.15680      2      0      2   0.07406   0.18011      0      0      0   0.25638   0.56667      0      0      0         .         .       0        .
1963    17   188    9851   0.01925   0.01907    149    19    139   0.08645   0.13868      9      1      9   0.06785   0.13969      1      0      0   0.13368   0.28928      0      0      0   0.07239   0.13558       0     4.00
1963    18   271    9664   0.02845   0.02805    336    41    308   0.09607   0.13199     28      4     27   0.08332   0.14085      2      0      2   0.12399   0.26105      0      0      0   0.13516   0.26421       0     4.05
1963    19   355    9393   0.03856   0.03783    607    70    538   0.10323   0.13056     69      8     64   0.08700   0.12944      5      1      5   0.10814   0.18900      1      0      1   0.11583   0.20419       0     4.11
1963    20   420    9037   0.04756   0.04645    963   104    823   0.10551   0.12578    139     15    126   0.08537   0.11561     14      2     12   0.09958   0.15135      2      1      2   0.27312   0.43798       0     4.12
1963    21   462    8617   0.05506   0.05358   1383   131   1140   0.10051   0.11509    243     21    215   0.07751   0.09741     28      3     25   0.08986   0.12214      3      1      3   0.12827   0.18601       1     4.25
1963    22   495    8156   0.06256   0.06066   1844   165   1470   0.10092   0.11224    374     27    325   0.06734   0.08169     49      4     43   0.08363   0.10519      6      1      6   0.13084   0.17672       1     4.23
1963    23   522    7661   0.07057   0.06816   2339   199   1800   0.10156   0.11067    539     34    463   0.06297   0.07417     76      7     65   0.08663   0.10505     11      2     11   0.10641   0.13961       3     4.24
1963    24   565    7139   0.08234   0.07908   2861   234   2123   0.10215   0.11011    738     41    628   0.05675   0.06545    110      8     92   0.07028   0.08301     18      2     18   0.10876   0.13229       4     4.23
1963    25   606    6574   0.09665   0.09219   3426   278   2454   0.10611   0.11321    972     45    821   0.04809   0.05491    151     10    126   0.06881   0.07844     25      3     25   0.09802   0.11708       6     4.26
1963    26   615    5968   0.10872   0.10311   4032   322   2782   0.10992   0.11572   1250     55   1054   0.04605   0.05190    196     11    161   0.05761   0.06551     35      4     35   0.10169   0.11691       9     4.27
1963    27   607    5353   0.12030   0.11347   4647   365   3075   0.11409   0.11859   1572     59   1321   0.03995   0.04458    251     12    205   0.05263   0.05864     46      5     46   0.08947   0.10122      14     4.30
1963    28   594    4745   0.13356   0.12520   5255   398   3318   0.11661   0.12005   1937     65   1627   0.03648   0.04022    310     13    252   0.04664   0.05149     58      5     58   0.08176   0.09093      18     4.31
1963    29   558    4151   0.14424   0.13454   5849   428   3514   0.11965   0.12187   2335     75   1960   0.03496   0.03812    375     13    304   0.04014   0.04418     71      6     71   0.07792   0.08532      23     4.33
1963    30   486    3593   0.14521   0.13538   6407   439   3644   0.11964   0.12042   2763     79   2313   0.03182   0.03429    450     16    366   0.03905   0.04246     84      7     84   0.07140   0.07798      30     4.35
1963    31   394    3106   0.13555   0.12695   6894   427   3692   0.11605   0.11555   3202     82   2673   0.02880   0.03066    529     16    429   0.03381   0.03642    100      7    100   0.06685   0.07209      36     4.36
1963    32   314    2712   0.12300   0.11588   7288   421   3659   0.11660   0.11491   3628     89   3017   0.02782   0.02935    611     16    496   0.03086   0.03310    115      8    115   0.06342   0.06793      43     4.37
