"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64"
"Year",1950,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"",39,49,43,54,45,39,34,16,29,30,34,35,33,21,32,42,31,54,40,33,34,31,33,33,25,24,16,24,19,28,26,25,38,26,23,30,22,24,24,15,18,21,22,18,14,15,15,30,19,12,11,19,13,17,8,13,13,11,19,10,9,8,7,10
"",38.495321392745,40.3642044890819,40.7894645992025,38.523131482156,44.6043568532896,39.5384398996378,41.3902553357764,38.3441889265866,35.2794207709639,37.1987232455015,41,46,48,29,39,31,35,24,25,40,28,39,28,41,33,19,29,16,20,24,24,17,18,21,17,14,15,15,23,18,10,8,11,10,11,16,12,5,10,22,8,3,15,9,8,10,5,7,10,11,12,7,5,5
"",33.735415760035,36.1467673699626,36.8246204497964,35.3990159185541,40.8682636415477,36.9455437330673,38.4139928550243,36.4440190515358,33.8956587721789,35.5618491519236,37,38,37,55,35,49,39,35,34,32,26,30,28,31,24,18,22,15,13,25,18,25,20,22,19,21,15,16,15,17,22,15,11,16,9,11,12,8,11,8,15,8,15,8,11,12,12,12,15,10,10,6,7,12
"",29.5861141221302,32.3945372123188,33.2598994400397,32.535657491779,37.4433438336836,34.5240949324374,35.6585701798156,34.6411625853632,32.572378384698,34.0007548642625,40,37,44,66,32,41,38,38,38,33,34,24,44,36,39,31,30,20,23,28,29,11,16,17,14,17,19,23,16,14,13,15,7,10,16,11,16,16,9,14,13,8,10,11,9,9,9,14,11,12,5,7,11,7
"",26.0028524589842,29.0956083967779,30.0789048786832,29.9237730424351,34.300731704657,32.2652102113888,33.1193500675073,32.93632580786,31.318423730212,32.5187947563833,51,43,38,50,36,34,41,32,31,25,28,31,36,27,37,24,30,28,30,24,25,14,25,24,16,19,24,17,19,15,25,14,20,13,13,16,13,6,11,14,12,14,17,8,15,12,10,6,8,9,6,7,10,8
"",22.9478252639752,26.2436834906425,27.2699581119059,27.557162298264,31.4134811728301,30.161182503056,30.7946298477314,31.331920997549,30.1463012245598,31.1214282209862,26.6686546230262,27.79869696881,21.0191589979672,22.2915135340706,28.161626911864,24.3270866704187,22.1985304012681,26.385525822541,25.0281933199053,24.7379442240029,24.0164982529673,24.5194771507349,22.6950968776579,25.652826287609,19.9913333952405,19.8297083698389,22.3838215269653,22.8657867362151,24.9318034020298,16.9270408216583,18.0812169230135,12.9372651758691,16.2367460117302,17.3572535226952,16.0520606707691,14.3158240737898,16.9775762497259,8.83588708701343,16.6633205679573,10.9822053917303,12.0329896782615,14.4681156773806,14.0291073935296,13.249356443939,8.93985299983052,10.1061878212126,8.64587968317667,10.5578141737898,10.1937006688241,8.45700492263252,7.898199809838,11.4632737605503,9.34754386313681,10.3657853645963,9.61426237328569,6.39217716988821,9.48830960003454,7.92259665414505,8.85764272673877,8.09633477765855,9.20998396028836,6.38228993668661,9.31979643717884,9.12104488640276
"",20.3856477380201,23.8335917697402,24.8229318994012,25.4310190849821,28.7567988205718,28.2051270023343,28.6841433980102,29.8314715579668,29.0712721451438,29.8155775156794,26.3452823830087,27.5222450324305,21.4978994084764,22.6926272955497,27.4473340320848,24.0447898395365,22.4856938678726,26.336398407639,24.8777170898841,24.489963211804,23.5839980122409,24.2353685080802,22.5570531444767,25.1490388476852,20.0464871531473,19.9679988312284,22.4565688910976,22.502291740184,24.2892953374767,17.2325695264852,18.3102293061417,13.7632279802895,16.3418892326254,17.5734793457719,16.1270786979219,14.4102042291066,16.6454494284272,9.15312740234606,16.0884625615043,11.3654166400111,12.1285492862911,14.4483465808915,13.7373686265527,13.0179090691829,9.09984854304188,10.2090706619082,8.85127973851988,10.6927312390814,10.3448404804477,8.64289278497877,8.10595015573942,11.4691011129838,9.49326765619343,10.2805530898751,9.55822831351057,6.59069520306063,9.30427571195618,7.92863534619389,8.79580998657653,8.09533660056709,9.23748657822312,6.58536997619323,9.01967702917946,8.88751686496168
"",18.2825969639383,21.8605607283086,22.7280013270796,23.5409823980529,26.3081467729522,26.3907207689818,26.7881520785475,28.4391739274383,28.1107718493883,28.6091585879194,26.0223272144144,27.2481074561047,21.9849690054694,23.1015855635831,26.7600104472795,23.7719592417114,22.7794297336851,26.2931025391788,24.7332829046414,24.2486565673485,23.1668866295867,23.9578726581271,22.4280566220811,24.6624799961932,20.1048580181614,20.1126944511706,22.5300351778959,22.1533388715548,23.6688444768018,17.547013440432,18.5457936529262,14.639130209714,16.4524894100398,17.7956394272345,16.2064050036958,14.5082871344116,16.3296415436962,9.48370315060778,15.5398594675354,11.7613988926744,12.2270168529649,14.4320642186371,13.4549280632482,12.7938192603726,9.26475598863711,10.3151614710448,9.06245946817991,10.8305857958951,10.4998079769165,8.83382510075373,8.32083071503372,11.4775181588572,9.64288575965784,10.1986169806434,9.50581062895679,6.79617522212116,9.12816807903772,7.93731652034618,8.7368019213022,8.09612455879737,9.2677580636402,6.79450897678569,8.73230746373273,8.66262717863671
"",16.5967112065895,20.2979286312825,20.9680014413119,21.8864646157415,24.0739778431468,24.7195446937085,25.1062297832478,27.155240567095,27.2673439769748,27.5027470609389,25.6929926257828,26.9754130865631,22.4751164785886,23.5198399900077,26.1155873004534,23.5205233447984,23.0857272044348,26.2670665961252,24.6049854528273,24.0221320570936,22.7794297895812,23.6933671769229,22.3242478731781,24.2067849342602,20.1726317495796,20.2749262224194,22.6051956598872,21.83556382647,23.0801884871548,17.8776492347816,18.7955347892364,15.561676837699,16.5783029009096,18.0304973602437,16.2980773983882,14.6163665417382,16.0485771903781,9.83233976484009,15.0283769344525,12.1692911552228,12.3328029136712,14.4261679213876,13.1877281306974,12.5833073992843,9.43894881750915,10.4289289059398,9.28146448612769,10.9739212963491,10.6619538742974,9.03193677572796,8.54658399105877,11.4937120890448,9.79983363566429,10.1250406312573,9.46348337572076,7.01055236362113,8.96814584020912,7.95393678523574,8.68530797027318,8.10227329609108,9.30622808326438,7.00902966189599,8.46296458179027,8.45114237589804
