"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64"
"Year",1950,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"",2650,1554,1208,1059,979,850,796,715,656,453,476,439,490,441,337,396,328,283,341,378,311,364,306,329,297,290,271,225,92,83,66,88,63,42,54,57,49,40,39,31,40,38,49,36,38,23,31,21,22,43,34,35,29,24,29,20,20,19,18,17,16,16,9,13
"",291.059367412052,261.153142612491,143.455105582146,137.13327134,122.10562880459,102.148324398714,107.388308390017,93.4166621963861,74.8465403297699,49.5863813158733,105,98,108,63,50,64,48,45,33,39,39,26,34,25,33,24,17,23,18,21,22,13,20,14,10,9,7,19,12,12,13,12,10,16,10,4,8,2,6,5,8,9,11,14,9,9,4,8,7,7,12,6,5,6
"",209.998147419206,184.251964273284,109.329953324312,101.796997181479,88.1602290530037,78.3189929826739,80.4758217455266,69.0728528090364,58.1838085420076,39.6337240145131,42,37,40,31,25,27,20,17,15,22,13,24,12,14,22,7,12,8,6,15,9,6,9,8,5,5,3,6,5,7,6,5,0,4,3,3,3,4,3,3,7,5,3,6,1,4,3,4,4,5,2,2,5,2
"",152.083840588717,130.424987491291,83.4744706186954,75.7378822268921,63.8118307208976,60.1442739785062,60.4281413804662,51.1728007605594,45.2945137161984,31.7202748488859,29,24,25,18,19,17,11,16,13,15,12,14,7,9,12,9,11,11,7,7,7,4,5,3,8,7,1,2,2,1,4,2,3,0,2,2,3,1,1,6,3,2,2,1,4,3,1,5,2,2,1,3,0,2
"",111.274808709835,93.1500905297723,64.0551435216017,56.7016161909506,46.5051101833436,46.3910533635977,45.6238962003381,38.1150103080195,35.3990577224248,25.4802370568098,15,8,14,15,7,8,13,4,13,11,6,8,8,11,11,4,3,4,3,2,4,5,5,5,3,4,4,4,1,0,4,3,3,0,2,3,2,0,1,2,1,0,3,1,3,1,0,2,0,0,0,2,2,1
"",82.95124753597,67.6139993129571,49.61295722474,42.9382594286274,34.3179261870015,36.0757530751796,34.7957102949457,28.6694397612512,27.8676945172825,20.60884642557,6.19098103201605,6.53498258245425,7.35953789171144,4.22736358209081,2.67519093989831,6.07151352934613,3.84031161595783,2.5227176317635,2.88980937619902,3.8953476807543,3.85043880381605,3.92104961893721,2.94583930095446,3.33827821664586,2.20410215359074,3.10137878810734,2.99844311101945,2.05480149154371,1.91478898784817,2.74237036170407,1.59660652438201,1.32723954430926,2.01459270720939,2.04244837676123,1.59600883548001,2.17366091595393,2.44924004795815,1.2988774170863,0.499101213459792,1.1623038557317,1.16750859201742,0.966289260080647,1.08638837028942,0.674097686027553,0.863893356657696,0.889278792573186,0.608439088404335,0.854513681807094,0.752045059450627,0.844292948509269,0.786306195769745,0.370066901083204,0.386371885841311,0.766981489031844,1.24512546351591,1.21602614962677,0.636269820838119,0.956096739988361,1.08143163023316,0.524144896778909,0.509065640395662,0.368287856110973,0.663087014559824,0.484174885734214
"",63.6285403008124,50.3023885980411,38.9839006515941,33.0925695589282,25.8123699906884,28.4105897441806,26.9530422947867,21.8925438881314,22.188306425572,16.8488212447544,6.00320722084089,6.43062101600847,7.07383846950243,4.27744732402943,2.79386817250423,5.81478915031319,3.96046077580026,2.57917308131258,2.95594155873692,3.91617192051644,3.88601030600655,3.92459452367229,2.99792858079244,3.42665615946144,2.31240201410932,3.13919625948101,2.99829428687363,2.15751469097401,1.98083559937104,2.72041614748846,1.66174595709802,1.40090723376863,2.0896420913956,2.09530798575281,1.67949351482441,2.25554568115787,2.4046427160006,1.3487333795158,0.536422877849291,1.16791946864214,1.19004926058593,1.00165452847182,1.1371805774372,0.691653994865892,0.937979342411814,0.924874568863448,0.653344348562048,0.870019777580692,0.801152819650331,0.889380622425818,0.830441300456616,0.414566908491232,0.421977820104987,0.795606906184474,1.24039884774501,1.22782106003068,0.674180681112387,0.967103552333406,1.09103482499914,0.556258413795083,0.553352743623729,0.384235975646773,0.694812199909495,0.510902844889774
"",50.7738705561516,38.7148612244256,31.2540661447158,26.1356129893577,19.933959726073,22.772744420463,21.3347512202883,17.0716357590107,17.9489824405311,13.9852308880091,5.82378994816116,6.32970760781795,6.80288510117095,4.32928116603073,2.9182109119521,5.57161817651092,4.08450379649456,2.63733805149407,3.02392802220464,3.93791901087098,3.92273068096531,3.928970721267,3.05126167733386,3.51787779651197,2.42613995237889,3.17808185177192,2.99890205700953,2.2651871493284,2.04924989455994,2.69941555286577,1.72957703315749,1.47871267516452,2.16763290653525,2.14982450082348,1.76715826724077,2.34041679370499,2.36134977374702,1.40058384865399,0.576569951987731,1.17371861583823,1.21316747434712,1.03842390138538,1.19041837963384,0.709729212753834,1.01835773737439,0.961961498024211,0.701581941253616,0.885945825332471,0.853453804574245,0.936945386192077,0.877083485825393,0.464409844896405,0.460881424444979,0.825439373029421,1.23599034396796,1.239945262939,0.714407113570053,0.97842462150062,1.10089364798393,0.590373723307295,0.601459820697671,0.4009209729522,0.728069971164112,0.539115322111501
"",42.4494512903922,31.0255706760025,25.6876214479415,21.2624344708891,15.8914960370174,18.6490727759063,17.3344058975709,13.65314759296,14.8004542564278,11.8237186903961,5.65740889295053,6.23561347019783,6.55273018954128,4.38527113706773,3.04936221172667,5.34627062617923,4.21285344917684,2.69819394821055,3.0945325227946,3.96224033786035,3.96229074520581,3.93584063156952,3.1065350853824,3.61309415963698,2.5458455845142,3.21930083445826,3.00178127950872,2.37767261078054,2.12030822258174,2.6808878016357,1.8002846573219,1.5609969980569,2.24899340969455,2.20665652552897,1.85879881589821,2.42817140359203,2.32027847550635,1.45468274708966,0.619836018569013,1.18001898136472,1.2371730723711,1.07688866293965,1.24637467572047,0.728468321812097,1.10541941991541,1.00074537091156,0.753440891504405,0.902589440261828,0.909125156992835,0.987276831213334,0.926441523298226,0.520216919844643,0.503427147653608,0.856827632557901,1.23249411551031,1.25284254618299,0.757217697170716,0.990449837943633,1.11135891521169,0.626692611311817,0.653638944890714,0.418477458721915,0.762966618120043,0.568914898255442
