"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64"
"Year",1950,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"",2658,2012,1752,1612,1495,1364,1119,1065,939,893,770,803,720,680,611,596,492,915,819,785,693,622,517,547,1499,1374,1256,1247,1305,1440,1454,1596,1481,1365,1387,1471,1481,1465,1348,1285,1346,1197,870,707,451,423,337,404,316,316,316,265,288,251,240,246,218,244,282,288,251,232,277,200
"",263.396376320905,350.887188191291,251.652794019854,233.169960418668,213.750815590528,168.76612477275,183.984718749068,150.038809813255,121.647758332002,89.772042925448,218,210,188,153,139,135,123,105,104,81,80,78,73,68,63,57,40,44,36,34,48,50,50,43,39,37,38,44,40,40,37,36,35,22,19,24,22,19,19,23,11,22,26,23,19,13,20,24,13,19,23,19,26,18
"",177.910863546082,227.741006952474,171.6332135067,157.382254661062,146.660571396491,118.711682910591,130.191516989101,105.319392646998,91.5204183742164,68.0709425097239,46,59,35,46,53,46,38,45,48,40,44,37,33,31,34,30,19,19,14,13,15,24,16,29,9,14,13,11,14,11,11,20,12,10,11,12,12,12,9,13,9,8,13,13,6,9,11,8,9,10,8,4,5,9
"",120.686196870129,148.461214070231,117.458887682144,106.665137950366,100.977861193344,83.7670746155873,92.4071453110558,74.1766389404018,69.024836354349,51.747182619449,37,41,32,25,30,29,28,34,25,37,31,29,23,19,22,17,19,11,7,14,10,4,15,6,15,5,9,11,8,11,10,12,11,6,4,4,7,10,6,4,4,9,10,4,4,3,3,3,3,6,7,9,9,6
"",82.8124567227571,97.9067840016859,81.1247116133045,73.0903827910554,70.1758211913664,59.615818675121,66.1313994178319,52.7174961730742,52.4140137055681,39.6148102199798,21,26,19,20,30,26,16,20,20,26,19,16,14,22,18,20,8,15,17,5,10,4,12,12,8,9,11,3,8,5,7,8,7,5,8,6,8,3,3,1,0,9,8,6,9,2,3,1,4,6,3,7,2,5
"",58.0083505926698,65.9133822841852,56.9631570216112,51.0825193849168,49.5964662780619,43.0898884477008,48.04082653795,38.0859537857145,40.3027199174237,30.7222170573495,9.58961236289458,12.2324017562729,12.3531671597471,7.85219716517465,11.6314978974498,8.37436501127334,10.9860712965871,11.5493670549232,10.1463423335981,12.3902744900645,10.711930136002,7.48706973408913,6.03285963523226,6.2104358809384,8.68133863984153,4.84362798674576,6.67432992035368,7.46569336619026,3.21848573339528,3.47341024284909,2.71800434515146,3.44543071897258,3.59513834927733,2.18607057062025,1.22548850913616,2.15552473075661,1.90762802745409,2.13752163662183,2.70875888017337,1.70761796317224,1.22182757884469,1.22496543242826,1.26986983203191,1.67762333200241,1.72025861980306,2.46215324363846,1.16206332132696,1.40636620195835,1.60003952575451,1.56109151071883,2.28023076828791,1.111281676913,1.92228704177561,1.09892898812101,1.63045982286922,1.26703080667991,0.830856812538264,0.678703349841791,0.683284049886366,1.69863871438698,1.72340147310158,2.07628654708294,2.4198323721519,1.88842529250249
"",41.9180980580504,45.7675936060051,41.0088996392602,36.7807970435139,35.9553929724015,31.887236797722,35.7034586359333,28.2099197879801,31.5950466579626,24.3073219092635,10.009546476615,12.6306888526212,12.7041128882011,8.50845038197038,12.0366908180406,8.91099282761192,11.5934547677897,12.0391718880837,10.8182210862102,12.6528344263257,11.2597811736362,8.13469981940951,6.56880408950514,7.0241595067342,9.2730935909994,5.5553027226552,7.23022787544135,8.04221635488814,3.8229513425575,4.05904494675074,3.23075146072249,4.01260376882031,4.15862744969882,2.60606232825204,1.54346832773249,2.59207716693255,2.26148517805092,2.51174779858332,3.10920168236865,2.06424533981986,1.51403166769836,1.53052458313762,1.54812119151691,2.03308013331855,2.04352844278092,2.78913671717968,1.39620575606021,1.69047154505134,1.94905556350954,1.86070787803515,2.68972704392506,1.38837609140898,2.29073613086362,1.36702414392118,1.93111962450614,1.52388616116628,1.04804858681982,0.86959198989353,0.884768870698723,2.02892182302809,2.0679377518277,2.46417125710219,2.8033238998344,2.21030380800981
"",31.6081029849818,33.1425107155635,30.5499900599884,27.5841675791109,26.991393958723,24.3746426176332,27.3809682809212,21.6241696742335,25.4454309225832,19.7767378027912,10.4500560494634,13.0447703272206,13.0685728989346,9.22179276315891,12.4622366440527,9.48586037233639,12.2375855944589,12.5555785812167,11.5409269476925,12.9312196443945,11.8433979869201,8.84229475044607,7.154975021851,7.94590648044315,9.91016999776325,6.37289625309102,7.83681006371075,8.66902025515214,4.5420442282365,4.74527167277174,3.84092760220824,4.67442921909426,4.81251854227948,3.10754143802534,1.94408365700458,3.11742110157726,2.68193790852271,2.95252053176829,3.57031483260591,2.49587855775443,1.87642510244888,1.91244732926486,1.8876649057408,2.4641797063116,2.42802022201021,3.16075734307895,1.67797329015155,2.0322694588027,2.37446053813007,2.21826436175433,3.1735585834032,1.73455582352932,2.7299156552191,1.70046346853781,2.28784366503514,1.83292929798406,1.32201719839158,1.11417226083373,1.14554088424686,2.42409842893436,2.48168624992632,2.92476625576919,3.24809857349462,2.58748011768001
"",25.0338983248898,25.1969278729529,23.6958921323627,21.6857546381064,21.1096999369204,19.3572097296978,21.7943669581132,17.2570664660839,21.157900247187,16.6299004342694,10.9169025084966,13.4812822507055,13.4545357032828,10.0024390185556,12.9224466225791,10.1103908420432,12.9277237429285,13.1126494882088,12.3326616906394,13.2474642735274,12.4821584928717,9.62468701554873,7.80225617712923,8.99358825292281,10.6073770546093,7.31570215808551,8.50894976809004,9.3638092376163,5.40057451179409,5.5543749655412,4.56899976532337,5.45015995400206,5.57684091886063,3.70855744541917,2.44920919853328,3.7506933381004,3.18417696465137,3.47448532700471,4.10513864976939,3.01980793423363,2.32679577393232,2.3902586839892,2.30294568683169,2.98796864122076,2.88664799830316,3.58620016144918,2.0183291799847,2.44432858275948,2.89372779476316,2.64618733726437,3.74740897975921,2.1670230496418,3.25370910339893,2.11499020319345,2.71281115606112,2.20509881849731,1.66760920231013,1.42755658111588,1.48263376171019,2.89881545486385,2.97949867906282,3.47238864122785,3.76530063851022,3.03063163379605
