"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64"
"Year",1950,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"",25,16,17,13,18,22,22,17,10,15,17,12,14,13,11,7,11,63,79,55,56,59,65,53,64,56,48,45,65,63,59,51,53,44,44,34,58,48,41,46,54,51,34,33,27,28,28,32,29,44,38,27,38,34,21,46,36,30,38,41,24,39,29,34
"",3.19874625415111,4.85495293164619,2.52898360132264,1.69608831564576,2.72781106667166,2.89029313828448,3.20602125648786,2.00362163461308,2.50096552035868,1.75681500964142,10,7,5,9,5,5,4,10,8,13,14,10,9,8,5,4,10,6,6,5,13,7,7,6,12,10,10,6,8,15,13,9,9,7,11,17,3,5,7,7,11,13,7,8,6,7,8,8,9,2,8,10,5,9
"",3.11215980765348,4.4796820406296,2.37182314635749,1.69796368007358,2.54720969766898,2.6746689706422,2.9297244153934,1.85949772665527,2.26055945346851,1.64632411207223,2,2,1,2,1,2,3,6,9,5,5,4,6,8,6,5,6,5,2,4,7,11,7,7,10,5,6,3,6,3,10,9,8,6,4,6,2,4,4,2,9,9,4,8,3,2,6,4,4,3,9,5,2,4
"",3.02849041383722,4.13529650364999,2.22535425231682,1.70010861624633,2.37942914884104,2.47595416028711,2.67854079915007,1.72628391005101,2.044148151748,1.54314126677784,1,0,3,0,0,3,1,2,5,2,9,2,7,7,1,4,5,4,3,4,5,2,2,4,1,4,8,4,5,5,3,7,7,2,11,4,1,4,2,0,2,6,4,1,4,5,6,3,3,3,0,6,5,3
"",2.94872949867474,3.82245836985769,2.09048221490961,1.70306031942371,2.22506864348988,2.29423354622716,2.45236401384633,1.60409047641028,1.85078226475515,1.44741410125501,1,1,1,0,0,1,0,6,7,4,7,1,5,8,2,4,3,3,7,2,3,2,8,5,1,5,3,4,3,4,3,7,2,5,3,4,4,1,1,3,1,3,2,4,2,3,2,1,1,0,2,3,1,3
"",2.87427372313641,3.54244339511188,1.96848929280431,1.7076298326172,2.08506226787328,2.12988855432292,2.25147544223581,1.4932300437784,1.67979763041928,1.35944349029676,0.537146657021329,0.536270305679854,0.185510818284978,0.371885179572649,0.568411048965962,0.344829640618814,0.149432442140964,1.60685885835939,3.13977936062052,1.6226808552077,2.42982150096384,2.46515327603737,2.2269084285662,3.97828327205645,5.3599173836116,3.75067053697662,5.14993132483714,4.44645576080075,4.0262420014062,5.44958117806026,4.2586274793056,4.23069547713715,4.07997831839302,4.38665449461227,1.84183099800723,2.04212647219424,1.94816357439218,0.96984864854171,1.01814727378326,1.5560901822734,1.93749229633851,0.857792819311955,1.75248268667426,1.72396085214661,1.5812233958225,1.56239665884808,1.82665691618955,1.54737843526578,1.21800712777662,1.40606877655207,2.19105868954587,1.95449012393205,2.6114722874084,1.68456188382228,2.0061353768883,1.67656623244314,1.14317599860931,1.48230229874322,1.13367800890123,1.70184060857492,2.18433353213036,1.24362134756845,1.41349744799983,2.59469564213409
"",2.80686550679951,3.29677917897091,1.86087388209459,1.71491124741614,1.96051718550219,1.98342944296453,2.07628532956834,1.39410774737576,1.53062463848877,1.27961254745819,0.557900522335684,0.562735633331532,0.210040159241752,0.395759827422205,0.594393929921881,0.368269220384606,0.166265737430677,1.62004525622333,3.0201522882531,1.67237134772457,2.35966924184907,2.45279425185366,2.21705062335995,3.82401289153066,5.15452611785946,3.72857146268667,4.8329757470736,4.21137033200998,3.98238377956089,5.1412012117542,3.97952268246164,4.10711967125439,3.95266174093399,4.39566726220607,1.94324326765336,2.12761857218176,2.10351096814344,1.09890779184264,1.14708047164367,1.69344472394025,2.07055286591718,0.970357421404519,1.88063880082328,1.85760430705034,1.66546510858349,1.65652576911235,1.92095011214251,1.60889542496716,1.28233246601792,1.44706711787056,2.24771653641066,2.01507067823418,2.64726886286017,1.74620134749063,2.10192051584586,1.7342249468219,1.21360997681852,1.50991763071468,1.1952330177038,1.73992081867666,2.20999338883086,1.31727132777795,1.44656412266921,2.55695844142656
"",2.74855907731561,3.0870970409076,1.76928061154799,1.7263007128958,1.85263485691964,1.85541074509698,1.92723463691545,1.30716404134521,1.40271154739687,1.20834431171552,0.579459600375216,0.590508417095395,0.237798964612625,0.421164533752479,0.621596279086097,0.393302632994023,0.185005214536031,1.63342429073189,2.90556722982811,1.72362176712761,2.29208267878897,2.44077636243358,2.20737174117777,3.67662222523578,4.95706497113581,3.70624045778789,4.53624635750454,3.98927082743294,3.93831967104144,4.85118124516414,3.71959536544603,3.9871658538348,3.82978832597555,4.40469204189286,2.05020684032099,2.21744691926948,2.27180416326936,1.24542268276526,1.29255937173056,1.84338293391752,2.21370925233711,1.09787616232101,2.0185908133655,2.0021411302496,1.75491066152819,1.75663884902355,2.0199813213257,1.67301624218505,1.35030262212084,1.48930944355125,2.30576537046485,2.07760317555139,2.68332233881919,1.81019577525536,2.20214829067416,1.79397439271533,1.28835012703405,1.53826309931611,1.26017891620034,1.77864924189149,2.23634261762907,1.39528305787345,1.48045730704296,2.51999868996101
"",2.7008187251697,2.91268357121919,1.69435745097997,1.7428498650527,1.76177417933103,1.74591970049255,1.80372742578881,1.23222626748591,1.29485052845118,1.14582996112146,0.601862334111255,0.619656269140313,0.269176894982816,0.448191320103845,0.650144688483694,0.420039489027698,0.20589121611074,1.64716990634602,2.7967096456195,1.77656235110127,2.22799201798723,2.42964956923853,2.19813865209624,3.53746870819958,4.76733785624178,3.68296561752671,4.25971877847894,3.78043951596595,3.89272296318508,4.58004838216935,3.47907490596145,3.87075126833521,3.71208751043262,4.41371578072962,2.16295330030925,2.31346998398232,2.45541982661852,1.41247266951726,1.457257822494,2.00814228031824,2.36990804539059,1.24280033636264,2.16806150490027,2.15969358135139,1.85146465163801,1.86381846379274,2.12370252941442,1.74019261759891,1.42267200740536,1.53293626015552,2.3650833362646,2.14230814521296,2.71915282085221,1.87684879076468,2.30673793371675,1.85612078996752,1.36758445427154,1.56780410539168,1.32881049905488,1.81760998196493,2.26418872092997,1.47791493471668,1.51530850760008,2.48424590848782
