"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64"
"Year",1950,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"",17223,14355,12644,12521,11757,10685,10092,9362,8778,7973,7712,7482,7870,7146,6647,6455,6058,6069,5834,5421,5277,4943,4608,4090,4373,3771,3509,3314,3211,3282,3200,3152,2877,2701,2648,2650,2445,2512,2391,2315,2269,2062,1872,1748,1543,1479,1460,1477,1375,1409,1477,1361,1299,1302,1190,1208,1148,1258,1205,1238,1163,1161,1191,1139
"",1196.20093584382,1269.82599915073,922.698740054832,878.024742320071,863.688985199906,654.260405636541,711.964647423996,637.735845138483,588.285898598153,492.310513015925,830,913,777,686,600,608,563,601,539,490,513,429,433,414,368,355,308,291,272,292,304,289,297,233,255,213,218,234,217,184,213,168,158,164,171,138,144,107,130,148,128,115,136,107,102,103,104,102,93,124,111,85,80,94
"",825.838331998698,870.289495006968,680.007058616639,646.710168941033,639.460675094497,508.80965760552,544.829425170784,488.315277628301,469.231798942672,390.199960221077,382,352,370,374,325,305,314,310,292,255,282,266,264,267,270,211,194,158,149,177,164,173,199,152,139,150,120,119,122,119,137,107,111,86,80,74,73,81,71,69,79,78,84,57,66,65,60,70,70,56,56,48,68,61
"",573.086584356764,599.041523050516,502.499384829615,477.583825170858,474.515236262789,396.444197179276,418.020137178293,374.9034625728,375.020308431377,310.019579181794,249,256,244,262,226,241,219,216,218,214,213,191,224,205,184,178,187,159,130,156,152,106,126,111,117,118,106,104,108,86,86,65,70,55,76,55,84,50,65,57,77,55,51,55,54,53,45,61,44,43,37,51,44,32
"",403.233483110603,417.139737939873,374.072803364895,355.222891279033,354.300423190031,310.521786969759,323.050999366082,289.965181748996,301.405702954129,247.989806028261,198,202,171,194,181,155,197,168,191,166,183,164,167,172,155,148,169,141,105,112,115,100,119,114,103,106,90,85,88,74,88,72,76,57,66,61,55,35,36,46,54,50,50,31,47,50,40,35,39,30,28,31,38,25
"",290.905102483701,296.605599196609,282.254915647786,267.705051437242,267.560525074996,245.609268683135,253.017782194551,227.357267830329,244.789059702361,200.897231197708,121.02996339621,123.186158097704,135.491194768232,121.150686626523,113.716525928241,131.224195887217,114.01949229466,123.173209729321,127.626674563801,131.257809298259,129.22051397921,133.771117004441,128.891225365302,116.373496060006,101.279463615551,107.262352639377,102.431003524704,107.400196922236,104.303661240569,91.3052320599311,87.0498735948234,77.9647919542448,70.7278979906465,59.8389743855302,61.6883070285375,61.2636956618235,66.4381339425864,51.7113368224181,54.2351778128887,48.5305363659132,51.3343861027017,49.4940840099866,47.9456445821484,43.0183446936755,38.0387233443371,36.5980516666275,30.4991034491465,39.1275706753874,38.0982372382919,30.8812360990323,25.3546988651221,32.2279908261717,29.7644794218658,24.314476506141,24.5800305936444,24.2938520257276,28.8099439753263,25.1713840414784,26.3328203863392,23.0221466026686,22.4828542991855,21.8629872846659,26.1759656218514,23.6456433361761
"",217.974121586832,217.674453674144,217.436145059359,205.858751570253,205.611259131307,197.237551341545,202.31155546627,182.081163305002,202.085815772288,165.994203507313,118.178143577825,120.17915126925,128.712720254744,116.526019271996,111.283266077427,123.698950251922,111.369959642174,119.347956948681,125.298422145686,124.938158344074,125.021625427192,128.341147633659,123.161272204709,112.436629897714,99.5130797777575,104.441602301301,100.605296964904,103.41380016582,100.609117131355,90.3499996133511,86.867660128696,78.8513047839585,72.4684024959286,62.4916579420233,63.0247987197896,62.2887814233499,65.8178863945743,53.1523214814339,55.8499635954327,49.8350636560201,52.3930901607874,50.3059767231828,48.6759830454624,44.863224938427,40.075726789293,37.9827482527276,32.8016356966911,40.6571683002106,39.5678053087981,33.1814756943856,28.0250913392643,34.0641050319408,31.0225034306839,26.0980394420577,25.986312234831,25.5534803427727,29.497395001099,26.2733679243975,27.4372166124133,24.2797784177458,23.6469058256875,23.1839433667835,26.8503491403701,24.4140683801126
"",172.052576746691,166.824856151676,172.394878592459,162.794141503717,161.880823240604,161.802311591674,166.520162963722,150.205006956596,170.72758793089,141.027626714882,115.457763390335,117.355745061076,122.449118670003,112.24851012465,109.053482163332,116.825406384862,108.949728042356,115.830718178253,123.169520447015,119.156721370969,121.151785355484,123.357189958195,117.91211501071,108.838341619931,97.9350101928177,101.879902492938,98.970207623052,99.7681800245953,97.2432248337771,89.5531106857801,86.8259898843893,79.8508384113883,74.330836327984,65.3210735748143,64.4649826260454,63.413688980465,65.2955583976275,54.6929983808568,57.5641849314495,51.2316872225257,53.5265086616678,51.1845250316771,49.4736832094749,46.8093038056102,42.2474576353956,39.4540427438763,35.2975174904503,42.2802763027101,41.1309658381301,35.6767575612259,30.9912810277476,36.0307804150836,32.3607324219853,28.0304342281824,27.4957134921923,26.9023980385641,30.2290041907663,27.4429050711938,28.6084049092585,25.6195718157669,24.8881033082479,24.5949062350372,27.5583494574958,25.2216485923593
"",144.132193539181,134.472985096392,141.50015740534,133.175089948108,131.307143436306,136.221425336223,141.782430886902,128.246305685512,148.163759856405,123.745385986733,112.987023262543,114.919471393769,116.984963806668,108.616292428637,107.311553720798,110.947925511393,107.072039755656,112.964126429541,121.537780529576,114.303989064254,117.957360255116,119.210826845104,113.528784720104,105.947162986092,96.8457752858368,99.9192425371761,97.8269209342628,96.8043373204223,94.5589708805949,89.2042929686311,87.2056890213159,81.1777774024953,76.4870505619801,68.4671267391331,66.1696058727473,64.8134743227509,65.051487535855,56.4642388950235,59.4916870342811,52.8453098553062,54.8479572432068,52.2424565511184,50.4571957586976,48.9099657293847,44.6195272531307,41.0904605546464,38.0479847969372,44.0749053421977,42.8726656962528,38.4381553146219,34.3214186382501,38.1950413864229,33.842624672581,30.1654064415374,29.1662200371008,28.3997019684926,31.0649254753187,28.7259799158269,29.8946191925078,27.0767300694458,26.2487327662932,26.1248671371742,28.3355198764056,26.1004261566535
