"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64"
"Year",1950,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"",1928,1518,1250,1254,1084,965,861,850,665,619,599,568,559,452,438,386,340,791,626,495,489,448,369,323,1104,946,875,895,957,940,1009,1027,1017,933,939,965,922,966,892,818,833,777,548,412,294,303,237,281,215,207,207,166,177,175,148,183,148,166,167,191,183,177,178,150
"",222.739690509785,295.153938619773,210.048068100965,206.78352313762,196.935272962742,114.828261018092,135.062797414684,126.731677949835,110.798557110172,77.7906786744966,177,183,131,139,114,105,92,115,92,79,84,56,58,53,41,39,34,40,20,32,25,19,43,29,37,39,33,24,30,18,29,14,26,26,30,19,18,13,15,19,13,15,16,7,15,8,7,10,14,17,13,12,17,11
"",151.546315336718,188.054307359071,143.090254036002,139.436721869585,133.944423018784,83.9849250864332,95.9855381621231,90.7725500041407,81.6881730641764,59.2445986954171,40,44,52,38,31,30,28,41,31,25,35,28,24,19,24,20,9,15,17,8,17,16,13,13,6,17,12,10,11,5,11,6,9,5,1,3,5,10,4,4,7,11,10,8,11,8,6,5,6,7,2,10,7,7
"",103.567939465467,120.378270664064,97.8018448246276,94.3614320908501,91.4096938087336,61.5724871862089,68.4088642628555,65.1857546949094,60.363116614003,45.2161906066419,29,27,38,26,21,22,17,33,21,21,22,18,14,14,12,9,12,13,9,12,10,6,7,6,7,5,8,8,9,5,7,4,5,2,2,3,4,3,5,3,11,2,3,5,3,5,4,3,5,1,2,7,4,2
"",71.6282380187861,78.0129327368067,67.4466055683121,64.4723424379451,62.949209795301,45.4352642741379,49.1327121030547,47.1429768016311,44.8835174982647,34.7129009430876,18,15,26,22,21,6,14,15,24,15,19,18,15,18,12,12,27,9,3,8,7,10,9,10,10,4,7,1,6,3,5,5,3,1,1,3,5,1,1,5,1,4,3,2,7,7,4,2,6,1,7,3,3,2
"",50.6136182568497,51.6761745169827,47.2664238031663,44.8156282919733,44.0619109256243,33.9283254657586,35.7867644554281,34.5354719490102,33.7565591479197,26.9404212185122,8.47807937048973,9.54276442621713,10.0614289428671,7.80261129630822,9.00459477714633,6.20824629891967,5.89796762364257,5.85458127705825,10.1792528838903,8.41769406415881,7.35488745805231,5.45280423307919,3.36806187876317,5.23342404711431,3.56635733066585,4.9190699946862,3.98690724654514,4.05735512722787,3.34228750488144,2.65143337454922,4.23546494762301,2.78784096736508,2.48337752180147,2.85899195789228,2.9560607328761,2.4577198976577,1.94455839969995,1.24816349662506,1.96301074480843,1.48142832418555,1.27013011068782,1.30559920746696,2.19493160232556,0.961804380920195,0.743625030858525,1.31502366387423,1.20145612335765,2.2919442796965,1.16903748837453,1.47941605492899,1.29454655981296,1.95867360006124,1.30265841832599,1.45807054513351,1.44090487137174,1.65495024986579,1.3975602661542,1.48962985153163,1.34453634011188,1.93581966224838,0.947708792412645,2.33477157332005,2.46313877144776,1.20571130457051
"",36.9437726198603,35.3677552432315,33.9385058937239,31.9715262838434,31.6100187032731,25.8015300893244,26.6292444709595,25.8009520120049,25.836804429993,21.2623625233937,8.54516939895622,9.57910416304374,10.3248611621176,7.91739027652503,9.17427903433262,6.67687017054621,6.2047458667979,6.18637738766311,10.4162084306517,8.65182472193222,7.72338664693666,5.82294878609873,3.65915139639578,5.61160239211388,4.02296778599904,5.27271072326623,4.42877468131245,4.42500710495648,3.65465978628848,2.9662549895162,4.53846409133179,3.12613618436305,2.77446838056552,3.15316673855697,3.19304994435209,2.75301321369097,2.1699806236705,1.46111599869151,2.26798054390884,1.66708109378095,1.44424664127474,1.47180242588341,2.41007037852337,1.11773376193742,0.877322232145828,1.49146518847925,1.37692329180811,2.5222234517576,1.35461983447971,1.67053939375072,1.46139028572356,2.14764786433955,1.50124230541094,1.64792620278865,1.63728922247117,1.79048446870583,1.57460118535685,1.65458008870964,1.51751827761103,2.12774656790914,1.1028664616159,2.54939073302121,2.65921564679664,1.3723954305645
"",28.1910628856386,25.3023933638316,25.192603798905,23.6326852576236,23.453951835265,20.1232439728181,20.4079307294195,19.804937390668,20.2620260774769,17.1794577162156,8.61487351964203,9.61970023213689,10.5958105013987,8.03766923929972,9.35010825674355,7.18160449045051,6.52942565677991,6.53742214590571,10.6629105463999,8.89640611044374,8.11326024477913,6.22018335175917,3.97686657444181,6.01866499275062,4.53891787383489,5.65318888877369,4.92063630317463,4.82690597073056,3.99744711146762,3.31947783031508,4.86461237785698,3.50604354461178,3.10034504488339,3.47822412708479,3.45008300445065,3.08430227234905,2.42186726863849,1.71057249755101,2.62040544755781,1.87650515083316,1.6425985013712,1.65953534072092,2.64693355706749,1.2990232757921,1.03517952726969,1.69177706013446,1.57801384762001,2.77578178540438,1.56966157833996,1.88666870674995,1.649787841257,2.35523695820959,1.73003279783263,1.86255260358015,1.86039858483385,1.93755940022003,1.77424345102412,1.83795449362717,1.71278122738063,2.33908909812307,1.28345174765355,2.7838804113088,2.87129602989294,1.5621272075527
"",22.6385968601028,19.0518651711187,19.4456874810814,18.2059239523031,18.1009969452921,16.1746827073128,16.1910132622665,15.6932331536852,16.3561815769767,14.2713432772748,8.69146644233764,9.67290094421456,10.87579539401,8.17145183322937,9.53838135464749,7.72693174121061,6.8773448199846,6.90982382386231,10.9285594891932,9.16017505035561,8.53215036848379,6.65095741950031,4.32709563150275,6.46038654354899,5.12414095923273,6.0657803707573,5.47065879572825,5.26845234958023,4.37651843100308,3.71832631836692,5.21905125619273,3.93408462533147,3.46681651624067,3.8388924465069,3.73128425015234,3.45726359210355,2.70414876541894,2.00325584306013,3.02786962669359,2.11401618874762,1.86949999002459,1.87252641406021,2.90924535449935,1.51001304780596,1.22190001284322,1.91969080189673,1.80846229366377,3.05531571224731,1.81883532074817,2.13187400038906,1.86265200477271,2.58419053067659,1.99344944698185,2.10530749965836,2.11376554994392,2.09818677496755,1.99981152924918,2.04220094008032,1.93326076856806,2.57274266383569,1.49369991256623,3.04041792182084,3.10160398607802,1.77810459301201
